eta_gain,eta_loss,reference_gap
0.18,0.18,0.08855999999999997
0.18,0.2,0.09184000000000014
0.18,0.22,0.0951200000000001
0.18,0.24,0.09840000000000004
0.18,0.26,0.1016800000000001
0.18,0.28,0.10496000000000005
0.18,0.3,0.10824
0.18,0.32,0.11151999999999995
0.18,0.34,0.11480000000000001
0.18,0.36,0.11807999999999996
0.18,0.38,0.12136000000000002
0.18,0.4,0.12463999999999997
0.18,0.42,0.12792000000000003
0.18,0.44,0.13119999999999998
0.18,0.46,0.13448000000000004
0.18,0.48,0.13776
0.18,0.5,0.14104000000000005
0.18,0.52,0.14432
0.18,0.54,0.14759999999999995
0.18,0.56,0.15088000000000001
0.18,0.58,0.15416000000000007
0.18,0.6,0.15744000000000002
0.18,0.62,0.16071999999999997
0.18,0.64,0.16400000000000003
0.18,0.66,0.16727999999999998
0.18,0.68,0.17056000000000004
0.18,0.7000000000000001,0.17384
0.18,0.72,0.17711999999999994
0.18,0.74,0.1803999999999999
0.18,0.76,0.18367999999999995
0.18,0.78,0.18696000000000002
0.18,0.8,0.19023999999999996
0.2,0.0,0.06400000000000006
0.2,0.02,0.06720000000000015
0.2,0.04,0.07040000000000002
0.2,0.06,0.07360000000000011
0.2,0.08,0.0768000000000002
0.2,0.1,0.08000000000000007
0.2,0.12,0.08320000000000016
0.2,0.14,0.08640000000000003
0.2,0.16,0.08960000000000012
0.2,0.18,0.09280000000000022
0.2,0.2,0.09600000000000009
0.2,0.22,0.09920000000000018
0.2,0.24,0.10240000000000005
0.2,0.26,0.10560000000000014
0.2,0.28,0.10880000000000012
0.2,0.3,0.1120000000000001
0.2,0.32,0.11520000000000008
0.2,0.34,0.11840000000000006
0.2,0.36,0.12160000000000004
0.2,0.38,0.12480000000000002
0.2,0.4,0.1280000000000001
0.2,0.42,0.1312000000000001
0.2,0.44,0.13440000000000007
0.2,0.46,0.13760000000000006
0.2,0.48,0.14080000000000004
0.2,0.5,0.14400000000000013
0.2,0.52,0.1472000000000001
0.2,0.54,0.1504000000000001
0.2,0.56,0.15360000000000007
0.2,0.58,0.15680000000000005
0.2,0.6,0.16000000000000014
0.2,0.62,0.16320000000000012
0.2,0.64,0.1664000000000001
0.2,0.66,0.16960000000000008
0.2,0.68,0.17280000000000006
0.2,0.7000000000000001,0.17600000000000016
0.2,0.72,0.17920000000000003
0.2,0.74,0.1824
0.2,0.76,0.1856
0.2,0.78,0.18880000000000008
0.2,0.8,0.19200000000000006
0.22,0.0,0.06864000000000003
0.22,0.02,0.07176000000000005
0.22,0.04,0.07488000000000006
0.22,0.06,0.07800000000000007
0.22,0.08,0.08112000000000008
0.22,0.1,0.08424000000000009
0.22,0.12,0.0873600000000001
0.22,0.14,0.09048000000000012
0.22,0.16,0.09360000000000013
