reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
symmetric,7,0.5824726030214109,0.18983626615493945,0.5448963717826639,0.1130357764082952,0.5880111408261394,0.553892212186361,0.7793521350330578,0.8049969194248436
asymmetric,7,0.5818548612720994,0.1895793769735095,0.5447058489391046,0.11315976120314829,0.5880111408261394,0.5539156385905724,0.7798836306351588,0.8054953494545183
none,8,0.6006576084957026,0.1936157445141947,0.5513798937563387,0.10666661663810979,0.6022304832713755,0.5702857886832443,0.7621552269063798,0.7911117806946821
static,8,0.5794471322372536,0.18588993876800392,0.5473535823037792,0.11060706289457538,0.6022304832713755,0.5726319557760141,0.7798702469585777,0.80621529987065
symmetric,8,0.5784379617730192,0.18548748061902895,0.5472769664121004,0.11081315431144347,0.6022304832713755,0.5724568469676482,0.78090613114983,0.8072290809915397
asymmetric,8,0.5778767557390857,0.18524893059977215,0.5470855128662155,0.11089085673349626,0.6022304832713755,0.5725150889283191,0.7814728173918066,0.8078582341341718
none,9,0.5922552955019017,0.19303303980660877,0.5470864418487684,0.11795475768661996,0.5966693312017053,0.5640487722042307,0.7647780295333316,0.7888096881876798
static,9,0.5667796762927368,0.1832008307907976,0.5437529498030399,0.12240734411374668,0.5966693312017053,0.5655087745652925,0.7865308335523421,0.8073079589211107
symmetric,9,0.5651524345389334,0.18265804302263133,0.5434902453980593,0.12276849890581445,0.5966693312017053,0.5655939157290648,0.7877922977846412,0.8087814469110133
asymmetric,9,0.56468571750933,0.18247788366944703,0.5433285066452439,0.12282077881067047,0.5966693312017053,0.5655734962227875,0.7882267414232582,0.8093675596634871
none,10,0.5974746189316461,0.1971160272064472,0.5475846891951232,0.11805047272759742,0.5921069029979921,0.5580354728452889,0.7610750108559755,0.791251773020707
static,10,0.5733233854380769,0.18780949429040922,0.543998251030246,0.12158270417372358,0.5921069029979921,0.5609764760048579,0.7814813575972374,0.8095164121842898
symmetric,10,0.5721578480314831,0.18738129281260216,0.5440461274956019,0.12178698587908125,0.5921069029979921,0.5606861782361335,0.782573745890129,0.8107298428525648
asymmetric,10,0.5717581555407357,0.18721341127743343,0.5439135724460705,0.12180079107007488,0.5921069029979921,0.5606470777787926,0.7830222015608391,0.8112453081098955
none,11,0.6099456444769906,0.19875595555730233,0.5523855528932053,0.105350493213437,0.6004673833210924,0.568664186297578,0.7515984777752696,0.7830490616279918
static,11,0.5875358768306901,0.1903258928368179,0.5489802779360916,0.1100679467485021,0.6004673833210924,0.5696953891830265,0.7720383040703696,0.8013178331448612
symmetric,11,0.5863892912430138,0.18996160968470358,0.548885471589459,0.1103695335167617,0.6004673833210924,0.5695604519322466,0.7730460272209085,0.8024709954241407
asymmetric,11,0.5860074685656258,0.18978834990153073,0.548807906435568,0.11040579425788669,0.6004673833210924,0.5694525833285592,0.7735199632255321,0.8030745995265072
none,12,0.6044680102170886,0.19579892365083768,0.5503444853104321,0.11158556347952997,0.5958140949431834,0.5592823628545889,0.7619448572234366,0.7849157117702765
static,12,0.5843802328045975,0.18837901009642988,0.5468530053756249,0.11509741379394765,0.5958140949431834,0.5622768354544865,0.7783461880726366,0.7992677415649996
